smiles,NP-KV_value,NP-KV,P-KV_value,P-KV,NP-VAN_value,NP-VAN,P-VAN_value,P-VAN,group,stratify_group
O=C(/C=C/C(=O)N(CCc1ccccc1)Cc1ccccc1)OCc1c(F)c(F)c(F)c(F)c1F,,0.0,,0.0,3268.0,1.0,,0.0,halogen,halogen
CCCC1SCC(C)S1,1244.8333333333337,1.0,,0.0,1235.5,1.0,,0.0,sulfide,sulfide
CC(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1950.0,1.0,,0.0,,0.0,,0.0,benzene,benzene
CCCCc1nc2ccccc2cc1C,1809.5,1.0,,0.0,,0.0,,0.0,aryl_methyl,aryl_methyl
CCCCCCCCCCC1CCCCC(=O)O1,,0.0,,0.0,,0.0,2903.0,1.0,unbrch_alkane,unbrch_alkane
CCCCCCOC(=O)C(CC)(CC)C(=O)Oc1cccc(C)c1C,,0.0,,0.0,2299.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCC(=NOC)c1ccc(O)cc1,,0.0,,0.0,1610.0,1.0,,0.0,Ar_OH,Ar_OH
CCCCc1ccc(C(=O)N(CCCC)CC(CC)CCCC)cc1,,0.0,,0.0,3069.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCOCCOCCOC(C)=O,,0.0,,0.0,1387.1,1.0,,0.0,ether,ether
C[Si](C)(C)Nc1nc(O[Si](C)(C)C)c2nc(O[Si](C)(C)C)cnc2n1,,0.0,,0.0,2179.0,1.0,,0.0,Ar_N,Ar_N
COC(=O)c1ccc(C(F)(F)F)c(F)c1,,0.0,,0.0,1101.0,1.0,,0.0,halogen,halogen
CCCCCCCCCCOC(=O)CCC(=O)c1ccccc1,,0.0,,0.0,2510.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
O=C(CCC(=O)Oc1ccc(F)cc1Br)OCC(F)(F)C(F)(F)C(F)(F)F,,0.0,,0.0,1795.0,1.0,,0.0,halogen,halogen
CCC#Cc1ccccc1,1123.5,1.0,,0.0,,0.0,,0.0,benzene,benzene
CC/C=C/CCOC(=O)CCC(=O)OCC,,0.0,,0.0,1550.0,1.0,,0.0,C_O,C_O
Clc1ccc2c(c1)oc1cc(Cl)cc(Cl)c12,,0.0,,0.0,2057.0,1.0,,0.0,bicyclic,bicyclic
CC(=NO)c1cccc([N+](=O)[O-])c1,,0.0,,0.0,1807.0,1.0,,0.0,NH0,NH0
CCCCCCCOC(=O)CCCC(=O)N(c1ccc(C)cc1)c1ccc(C)cc1,,0.0,,0.0,3106.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
Cc1cccc(OC(=O)c2cc(C(F)(F)F)ccc2C(F)(F)F)c1,,0.0,,0.0,1635.0,1.0,,0.0,alkyl_halide,alkyl_halide
CC/C=C/CCOC(=O)c1ccccc1C(=O)OCC,,0.0,,0.0,1987.0,1.0,,0.0,C_O,C_O
CN=C(O)c1cccc(C(F)(F)F)c1,,0.0,,0.0,1424.0,1.0,,0.0,alkyl_halide,alkyl_halide
CC(C)(C)COC(=O)CCCC(=O)Cl,,0.0,,0.0,1421.0,1.0,,0.0,C_O,C_O
COc1cc(Br)ccc1OC(=O)CCC(=O)Oc1c(Cl)cc(Cl)cc1Cl,,0.0,,0.0,3182.0,1.0,,0.0,halogen,halogen
CCCCCCCCCCOC(=O)c1ccc(C(=O)OCC(C)Cl)cc1,,0.0,,0.0,2765.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCC#CCCCCCCCCO[Si](OCCC)(c1ccccc1)c1ccccc1,,0.0,,0.0,2771.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=C(C)C(C)=O,648.5,1.0,,0.0,,0.0,,0.0,C_O,C_O
CCCCC(Cl)OC(=O)CCl,1199.25,1.0,1788.25,1.0,,0.0,,0.0,alkyl_halide,alkyl_halide
C[C@@H]1O[C@H](C)[C@@H](C)c2ccccc21,1288.0,1.0,1705.3,1.0,,0.0,,0.0,benzene,benzene
CCC#CCCCCCCCCO[Si](C)(C)OCc1ccccn1,,0.0,,0.0,2330.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC=C(C=O)CC,800.5,1.0,,0.0,,0.0,,0.0,allylic_oxid,allylic_oxid
CCCCCCCCC/C=C/COC(=O)CCC(=O)OCc1ccc(Cl)cc1,,0.0,,0.0,3040.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(C)CCN(C(=O)c1cc(F)ccc1F)C(=O)c1cc(F)ccc1F,,0.0,,0.0,2080.0,1.0,,0.0,halogen,halogen
CCCCCCOC(=O)C1CC=CCC1C(=O)OCCCCCC,,0.0,,0.0,2291.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)CC(C)(C)C,,0.0,,0.0,1275.0,1.0,,0.0,alkyl_halide,alkyl_halide
CC1=CC(O[Si](C)(C)C)CC(C)(C)C12CCC(C)(O[Si](C)(C)C)O2,,0.0,,0.0,1528.0,1.0,,0.0,ether,ether
CC(C)CCCC(C)CCCC(C)C,1267.5666666666666,1.0,,0.0,1277.0,1.0,,0.0,unknown,unknown
CC(=O)C(C)OC(=O)CCCCCCCCC(=O)OCC(C)C,,0.0,,0.0,2220.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCC(Cl)OC(=O)C(Cl)(Cl)Cl,1429.4,1.0,1831.3333333333333,1.0,,0.0,,0.0,alkyl_halide,alkyl_halide
CCCCCCCOC(=O)CCCCCCCCC(=O)OCC1CCCO1,,0.0,,0.0,2805.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCCCCCCN=C(O)c1c(F)cccc1C(F)(F)F,,0.0,,0.0,1635.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
Cc1cccc(COC(C)C)c1,,0.0,,0.0,1212.0,1.0,,0.0,aryl_methyl,aryl_methyl
CC(CCC(=O)O[Si](C)(C)C)C1CCC2C3C(CCC12C)C1(C)CC[C@H](O[Si](C)(C)C)C[C@]1(O[Si](C)(C)C)C[C@H]3O[Si](C)(C)C,3376.5,1.0,,0.0,,0.0,,0.0,bicyclic,bicyclic
CCCC(C)OC(=O)c1cc(F)ccc1C(F)(F)F,,0.0,,0.0,1334.0,1.0,,0.0,halogen,halogen
CCCCOC(=O)CCCCC(=O)OCC(Cl)(Cl)Cl,,0.0,,0.0,1963.0,1.0,,0.0,alkyl_halide,alkyl_halide
CCCCCCO[Si](OCC)(OCC)OCCCCCC,1539.0,1.0,,0.0,,0.0,,0.0,unbrch_alkane,unbrch_alkane
C#CC(C)OC(=O)CCCC(=O)Oc1c(Cl)cc(Cl)c2ccccc12,,0.0,,0.0,2763.0,1.0,,0.0,C_O,C_O
CCCCCCCCCCCCCCC(OCC)OCC,,0.0,,0.0,,0.0,2132.0,1.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO[Si](C)(C)C,,0.0,,0.0,3194.9,1.0,,0.0,ether,ether
CCN(CC)CCOC(=O)CCC(=O)Oc1ccccc1OC(C)C,,0.0,,0.0,2435.0,1.0,,0.0,ether,ether
O=C(OC1C2COC(O2)C(OC(=O)C(F)(F)F)C1OC(=O)C(F)(F)F)C(F)(F)F,,0.0,,0.0,1179.2,1.0,,0.0,alkyl_halide,alkyl_halide
CON=C(CO[Si](C)(C)C)[C@@H]1CCC2C3CC[C@@H]4C[C@@H](O[Si](C)(C)C)CC[C@@]4(C)C3[C@H](O[Si](C)(C)C)C[C@]21C,3027.0,1.0,,0.0,3019.0,1.0,,0.0,bicyclic,bicyclic
CC(C)(C)[Si](C)(C)NCP(=O)(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C,,0.0,,0.0,2091.0,1.0,,0.0,NH1,NH1
CCCCCCCCCCCCCCOC(=O)C(CC)(CC)C(=O)Oc1ccc(Br)cc1,,0.0,,0.0,3193.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCOC(=O)c1ccccc1C(=O)OCC(CC)CC,,0.0,,0.0,2024.0,1.0,,0.0,C_O,C_O
CCCCO[Si](OC(C)C(C)(C)C)(c1ccccc1)c1ccccc1,,0.0,,0.0,2089.0,1.0,,0.0,benzene,benzene
CCCCCCCCCOC(=O)CCC(=O)OCc1cc(Br)ccc1OC,,0.0,,0.0,2949.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=C[Si](C)(OCCCCC)OCCCCCCCCCCCCCCC,,0.0,,0.0,2403.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCN1CCOCC1,878.0,1.0,,0.0,,0.0,,0.0,NH0,NH0
COc1ccccc1OC(=O)CCCCCC(=O)Oc1ccccc1OC,,0.0,,0.0,2317.0,1.0,,0.0,ether,ether
C#CC(C)OC(=O)CCCC(=O)OCC1CC=CCC1,,0.0,,0.0,1962.0,1.0,,0.0,C_O,C_O
CCCCCC(CCOC)COC(=O)CCCC(=O)OCC(CCCCC)CCOC,,0.0,,0.0,2914.0,1.0,,0.0,ether,ether
CCCCCCCCOC(=O)CCC(=O)OCCc1cccc([N+](=O)[O-])c1,,0.0,,0.0,2893.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCOC(=O)C(CC)(CC)C(=O)Oc1ccc2ccccc2c1,,0.0,,0.0,2588.0,1.0,,0.0,C_O,C_O
C=C[Si](C)(OCC(C)C)O[Si](C)(C=C)OC(C)CCC,,0.0,,0.0,1447.0,1.0,,0.0,unknown,unknown
CCC(C)(C)C(=O)CC(C)=O,991.1,1.0,,0.0,,0.0,,0.0,C_O,C_O
Cc1cc2cc(C)c(C)cc2cc1C,,0.0,,0.0,1656.8,1.0,,0.0,aryl_methyl,aryl_methyl
CCCCCCC(=O)CC,,0.0,,0.0,1091.0,1.0,1360.9166666666667,1.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCOC(=O)c1ccc(C(=O)OCC(F)(F)F)cc1,,0.0,,0.0,2537.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCOC(O)=NC(C(=O)OCCCCCC)C1CCCCC1,,0.0,,0.0,2691.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
COP(C)(=O)OC,839.3333333333334,1.0,,0.0,881.0,1.0,,0.0,unknown,unknown
CCOC(=O)CCCC(O)=Nc1ccccc1-c1ccccc1,,0.0,,0.0,2577.0,1.0,,0.0,benzene,benzene
Cc1ccc(Sc2ccc(C(=O)c3ccccc3)cc2)cc1,,0.0,,0.0,2791.0,1.0,,0.0,benzene,benzene
Nc1ccc(S(=O)(=O)N=C(O)c2ccccc2)cc1,,0.0,,0.0,2863.0,1.0,,0.0,benzene,benzene
C=CCc1ccc(OC)cc1,1180.7,1.0,1701.0,1.0,1187.428717948718,1.0,1659.6875,1.0,allylic_oxid,allylic_oxid
O=C(CCC(=O)OCCCCCCCBr)OCCCCCCCBr,,0.0,,0.0,2896.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=CC(=O)CC,,0.0,,0.0,679.3333333333334,1.0,1027.1466666666668,1.0,C_O,C_O
CCCCCCOC(=O)CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,,0.0,,0.0,1794.0,1.0,,0.0,alkyl_halide,alkyl_halide
CCCOC(=O)c1ccc(C(=O)OCc2ccc(C(F)(F)F)cc2)cc1,,0.0,,0.0,2712.0,1.0,,0.0,alkyl_halide,alkyl_halide
CCn1cncc1C,1118.0,1.0,1846.0,1.0,,0.0,,0.0,Ar_N,Ar_N
COc1ccccc1OC(=O)/C=C/C(=O)Oc1cccc(Cl)c1,,0.0,,0.0,2524.0,1.0,,0.0,ether,ether
CCCCCC(C)OC(=O)c1ccc(C(=O)OCCC)cc1,,0.0,,0.0,2170.0,1.0,,0.0,C_O,C_O
CC#CCOC(=O)N(C)C(C)C(=O)OCCCCCCCCC,,0.0,,0.0,2203.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=C(C)C(C)CCC(C)C1CC[C@]2(C)C3CC[C@@H]4C(C)(C)C(OC(C)=O)CCC45CC35CCC12C,3432.0,1.0,,0.0,,0.0,,0.0,bicyclic,bicyclic
CC/C=C/CCOC(=O)CCCCl,1390.25,1.0,1923.5,1.0,,0.0,,0.0,C_O,C_O
CCCCOC(=O)COCC(=O)Oc1ccccc1C(C)=O,,0.0,,0.0,2719.0,1.0,,0.0,C_O,C_O
O=C(CCC(=O)Oc1c(Cl)cc(Cl)cc1Cl)OCC(F)(F)C(F)C(F)(F)F,,0.0,,0.0,2072.0,1.0,,0.0,halogen,halogen
CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC,2715.0,1.0,3038.5,1.0,2720.16,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCC(Br)C(=O)OC,926.0,1.0,,0.0,,0.0,,0.0,C_O,C_O
CCCCCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1OC,,0.0,,0.0,3273.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCC(O)=Nc1ccc(C)c(Cl)c1,1736.0,1.0,,0.0,,0.0,,0.0,Al_OH,Al_OH
CC(=O)Sc1ccc(C(=O)O[Si](C)(C)C(C)(C)C)cc1,,0.0,,0.0,2081.0,1.0,,0.0,C_O,C_O
C[Si](C)(C)OC[C@@H](O[Si](C)(C)C)[C@@H]1O[C@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C,1982.0,1.0,,0.0,,0.0,,0.0,ether,ether
CCOC(=O)COCC(=O)OC(C)C(C)CC,,0.0,,0.0,1925.0,1.0,,0.0,ether,ether
CCCCCOC(=O)CCC(=O)OCc1ccccc1C(F)(F)F,,0.0,,0.0,2020.0,1.0,,0.0,alkyl_halide,alkyl_halide
CCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OC(C)C(C)=O,,0.0,,0.0,2957.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCOC(=O)CCC(=O)OCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C,,0.0,,0.0,3032.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(OC(=O)CCC(=O)OC/C=C/c1ccccc1)C(F)(F)F,,0.0,,0.0,1958.0,1.0,,0.0,alkyl_halide,alkyl_halide
CC(C)CCC[C@H](C)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4CCCC[C@@]4(C)C3CC[C@]21C,2860.0,1.0,,0.0,,0.0,,0.0,bicyclic,bicyclic
CC(C)(C)[Si](C)(C)NCCCC(=O)O[Si](C)(C)C(C)(C)C,,0.0,,0.0,1752.5,1.0,,0.0,C_O,C_O
CCSC(S)=NC,1462.0,1.0,,0.0,,0.0,,0.0,Imine,Imine
CCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1ccccc1[N+](=O)[O-],,0.0,,0.0,3457.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCCCC(C)C,,0.0,,0.0,2711.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCCCOC(=O)C(C)(C)C(=O)OCCc1ccccc1,,0.0,,0.0,3033.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=C[Si](C)(OC(C)CCC)O[Si](C)(C=C)OC(C)CCC,,0.0,,0.0,1052.0,1.0,,0.0,unknown,unknown
CCCCCCO,847.783373015873,1.0,1346.0083809523808,1.0,866.4153956582633,1.0,1343.0778645833334,1.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCOC(=O)CCCc1ccccc1,,0.0,,0.0,2194.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C#CC(C)OC(=O)CCC(=O)OCCC=C,,0.0,,0.0,1468.0,1.0,,0.0,C_O,C_O
CC(CC(C)(C)C)N=c1nc(Cl)[nH]c(=NC(C)CC(C)(C)C)[nH]1,2253.98625,1.0,,0.0,,0.0,,0.0,Ar_N,Ar_N
CCCCCCCCCCCCCCCOC(=O)C1CCCCN1C(=O)OCCCCCCCC,,0.0,,0.0,3467.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCCO[Si](CC)(CC)Oc1cc(C)ccc1C,,0.0,,0.0,2650.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
O=C(CCC(=O)Oc1cc(Cl)c(Cl)cc1Cl)OCCCCCCCCCl,,0.0,,0.0,3031.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(CO)[N+](=O)[O-],,0.0,1990.0,1.0,,0.0,,0.0,Al_OH,Al_OH
CCCCCCCCCCCO[Si](CC)(CC)OCC(CC)CC,,0.0,,0.0,2074.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC12CC[C@@H](O)C[C@H]1CCC1C2CCC2(C)C1CC[C@H]2O,2480.0,1.0,,0.0,,0.0,,0.0,bicyclic,bicyclic
C/C=C1\C[C@H](C)[C@](C)(O)C(=O)OC[C@@H]2CCN3CC[C@H](OC1=O)[C@@H]23,,0.0,,0.0,2446.5,1.0,,0.0,C_O,C_O
CCCCCCCCCCCCCCCCOC(=O)c1cccc(C(=O)OCC(C)C)n1,,0.0,,0.0,3133.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCOC(=O)C1CCN(C(=O)c2cc(F)ccc2F)CC1,,0.0,,0.0,2152.0,1.0,,0.0,C_O,C_O
CC(C)CCN(C(=O)c1ccccc1Br)C(=O)c1ccccc1Br,,0.0,,0.0,2753.0,1.0,,0.0,C_O,C_O
O=C(CCCC(=O)Oc1cccc(F)c1)OCC1CCCCC1,,0.0,,0.0,2338.0,1.0,,0.0,C_O,C_O
CC1(C)C2CC=C(COC(=O)CCCC(=O)OCCCCCCCCCl)C1C2,,0.0,,0.0,2970.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCOC(=O)c1ccccc1C(=O)OCc1cccc(Oc2ccccc2)c1,,0.0,,0.0,3404.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(C)C(C)OC(=O)C(Cl)(Cl)Cl,,0.0,,0.0,1163.0,1.0,1446.0,1.0,alkyl_halide,alkyl_halide
CCCCCCCCC(C)OC(=O)CCC(=O)Oc1ccc(C#N)cc1,,0.0,,0.0,2735.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)OC(CC)CCC)cc1,,0.0,,0.0,3392.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C[Si](C)(C)Oc1ccccc1,1058.0,1.0,,0.0,1049.265625,1.0,,0.0,benzene,benzene
CN(C)C(=O)/C=C/C(=O)Oc1ccccc1-c1ccccc1,,0.0,,0.0,2594.0,1.0,,0.0,C_O,C_O
CCCCCCOC(=O)CCC(=O)Oc1c(F)cccc1Cl,,0.0,,0.0,2142.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCOC(=O)CCCCCCCCC(=O)Oc1c(F)c(F)c(F)c(F)c1F,,0.0,,0.0,2858.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCOC(=O)C(CC)(CC)C(=O)Oc1ccccc1CC,,0.0,,0.0,2707.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(O[Si](C)(C)C)c1cccs1,,0.0,,0.0,1160.0,1.0,,0.0,thiophene,thiophene
C=CSCCSCCO,,0.0,,0.0,1394.9,1.0,,0.0,sulfide,sulfide
CCCCCC(C)OC(=O)CCC(=O)OC(CC)C(C)C,,0.0,,0.0,1834.0,1.0,,0.0,C_O,C_O
CCC(CC)(C(=O)Oc1ccc(F)cc1OC)C(=O)Oc1ccc(F)cc1OC,,0.0,,0.0,2524.0,1.0,,0.0,ether,ether
CCCCCCCCCCO[Si](CC)(CC)OCCCCCCC,,0.0,,0.0,2110.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(C)(C)I,693.0,1.0,,0.0,,0.0,,0.0,alkyl_halide,alkyl_halide
CCCCOC(=O)c1cccc(C(=O)OC(C)C(C)CCOC)n1,,0.0,,0.0,2330.0,1.0,,0.0,ether,ether
CCCCCCCN=C(O)c1cccc(Cl)c1,,0.0,,0.0,2160.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCO[Si](Oc1ccc(-c2ccccc2)cc1)(c1ccccc1)c1ccccc1,,0.0,,0.0,3171.0,1.0,,0.0,benzene,benzene
CCOC(=O)CCCC(=O)OCC1CCCO1,,0.0,,0.0,1807.0,1.0,,0.0,ether,ether
C/C=C/C1CC1,640.1500000000001,1.0,,0.0,,0.0,,0.0,allylic_oxid,allylic_oxid
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OC(C)C(C)(C)C,,0.0,,0.0,2729.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCOC(=O)CCCCCC(=O)Oc1cccc2ccccc12,,0.0,,0.0,2638.0,1.0,,0.0,C_O,C_O
C/C=C(\C)C(=O)OC(C(=O)OC)C1COC(C)(C)O1,,0.0,,0.0,1659.0,1.0,,0.0,ether,ether
CCCOC(=O)c1ccc(C(=O)OCc2ccccc2OC)cc1,,0.0,,0.0,2854.0,1.0,,0.0,ether,ether
CCCCCCC(C)OC(=O)CCC(=O)OC(C)C(F)(F)F,,0.0,,0.0,1558.0,1.0,,0.0,alkyl_halide,alkyl_halide
CCCCCCCCOC(=O)c1cccc(C(=O)OC(C)CC(C)C)c1,,0.0,,0.0,2501.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C=C[Si](C)(OCCCCC)OCCC(C)C,,0.0,,0.0,1408.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(COC(C)(C)C)OC(=O)c1c(F)c(F)c(F)c(F)c1F,,0.0,,0.0,1439.0,1.0,,0.0,halogen,halogen
CCSSCC,921.0,1.0,1244.0,1.0,921.0,1.0,1215.3333333333333,1.0,unknown,unknown
N#Cc1ccc(OC(=O)c2ccc(F)cc2F)cc1,,0.0,,0.0,1986.0,1.0,,0.0,benzene,benzene
C[Si](C)(C)OCCCc1ccc(O[Si](C)(C)C)c(O[Si](C)(C)C)c1,,0.0,,0.0,1876.0,1.0,,0.0,aryl_methyl,aryl_methyl
CC(C)CC(C)O,753.725,1.0,1203.5,1.0,759.0,1.0,1170.0,1.0,Al_OH,Al_OH
CCC(OC(=O)CCCC(=O)OCC(C)(C)C)C(C)C,,0.0,,0.0,1718.0,1.0,,0.0,C_O,C_O
CCC(C)CCCCCCCCC(=O)O[Si](C)(C)C,,0.0,,0.0,1717.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CN(C)c1ccccn1,,0.0,,0.0,1090.75,1.0,,0.0,NH0,NH0
CSc1ccccc1OC(=O)c1ccccc1C(=O)Oc1ccccc1SC,,0.0,,0.0,1510.0,1.0,,0.0,benzene,benzene
CCC(C)CCCC(C)C,932.39375,1.0,,0.0,933.0,1.0,,0.0,unknown,unknown
CCCCCCCCCCCCOC(=O)c1ccc(Cl)cc1,2322.3333333333335,1.0,2876.0,1.0,2351.0,1.0,2898.6666666666665,1.0,unbrch_alkane,unbrch_alkane
CO[C@@H]1[C@@H](OC)[C@@H](OC(C)=O)CO[C@H]1C,,0.0,,0.0,1316.02,1.0,,0.0,ether,ether
CCCCCCCCCCCCCOC(=O)CCCC(=O)OC(C)C,,0.0,,0.0,2446.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCC(C)OC(=O)CCCC(=O)Oc1cc(Cl)c(Cl)cc1Cl,,0.0,,0.0,2946.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCOC(=O)c1nc(Cl)c(Cl)c(N)c1Cl,,0.0,,0.0,2069.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCC(CCCCCCCCCCC(C)OC(C)=O)OC(C)=O,,0.0,,0.0,2279.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
C/C(=C\CO)CCC1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O,,0.0,,0.0,2409.0,1.0,,0.0,Al_OH,Al_OH
C#CC(C)OC(=O)CCCC(=O)OCCCCCCCCCCCCCC,,0.0,,0.0,2622.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
COCC1OC(OC)C(N(C)C(C)=O)C(OC)C1OC(C)=O,,0.0,,0.0,1971.01,1.0,,0.0,ether,ether
Brc1cccs1,962.0,1.0,,0.0,,0.0,,0.0,halogen,halogen
CCCCCOC(=O)CCCCCC(=O)Oc1ccccc1OC,,0.0,,0.0,2558.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCC/C=C/CCCOC(=O)CCC(=O)OCCCCCCCCCCC,,0.0,,0.0,2800.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCC1(c2ccccc2)CCC(O)=NC1=O,1852.05,1.0,,0.0,1825.0,1.0,,0.0,Al_OH,Al_OH
O=C(CCC(=O)Oc1cc(Cl)cc(Cl)c1)OCC1CCCCC1,,0.0,,0.0,2601.0,1.0,,0.0,C_O,C_O
CCCCC(CCCCCCCCCCCCC(=O)OC)O[Si](C)(C)C(C)(C)C,,0.0,,0.0,2582.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCCCCCCCCCCOC(=O)c1cccc(C(=O)OC(CCC)CCC)c1,,0.0,,0.0,3510.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CCCCCCCCC(CCCCC)CCCCCCC,,0.0,,0.0,1971.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
Fc1c(F)c(C(F)(F)F)c(F)c(F)c1C(F)(F)F,,0.0,,0.0,636.1,1.0,,0.0,halogen,halogen
CC(C)COC(=O)C(CC(C)C)N(C)C(=O)OC1CC(C)CCC1C(C)C,,0.0,,0.0,2233.0,1.0,,0.0,C_O,C_O
